row_number,hotel,location,city,latitude,longitude,check_in,check_out,adults,children,rooms,currency,user_country_code,booking_url,booking_price,booking_lowest_unit_value,booking_room_name,booking_source_text,booking_candidate_count,omio_url,omio_price,omio_lowest_unit_value,omio_accommodation_id,omio_provider_hotel_identifier,omio_accommodation_name,omio_room_name,omio_rate_key,cheaper_supplier,delta_omio_minus_booking,delta_omio_minus_booking_lowest_unit_value,warnings
1,Novotel London West,West,London,51.491809,-0.22057,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/novotellondonwest.en-gb.html?checkin=2026-06-01&checkout=2026-06-02&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP&chal_t=1779696982124&force_referer=,GBP 133.00,13300,,£133 Price £133 Includes taxes and charges,100,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=51.491809&locale=en&longitude=-0.22057&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 111.51,11151,18504e57-d8c8-40b4-9f71-3ba723eaf714,7546,Novotel London West,Queen Size Bed Double Room,20260601|20260602|W|164|7546|DBL.QN|ID_B2B_87|RO|B2BNRFEUXX|1~1~0||N@07~A-SIC~2336f~-132223813~N~~~NRF~~EF63323F2BC24D5177969699756205AAUK100009310020102336f,Omio/HBX,GBP -21.49,-2149,
2,Marriott Hotel London Marble Arch,George Street,London,51.516415,-0.163603,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/london-marriott-marble-arch.en-gb.html?checkin=2026-06-01&checkout=2026-06-02&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 487.00,48700,Superior King Room with Sofa Bed,£487 Price £487 Includes taxes and charges,52,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=51.516415&locale=en&longitude=-0.163603&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 399.20,39920,d45f5e9b-d7fc-47cf-9460-602cc08a29de,13896,Marriott Hotel London Marble Arch,Deluxe King Bed Double Room,20260601|20260602|W|164|13896|DBL.DX-KG|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~21418f~-883013309~N~~~NRF~~9E9B9D97DADE476177969702562405AAUK1000093100201021418f,Omio/HBX,GBP -87.80,-8780,
3,Bristol Marriott City Centre,Broad Street,Bristol,51.456068,-2.584724,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/bristol-marriott-city-centre.en-gb.html?label=gen173nr-10CAsoUEIcYnJpc3RvbC1tYXJyaW90dC1jaXR5LWNlbnRyZUgzWARocYgBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgCi4vQ0AbAAgHSAiQ2ZjUwODE3ZS03YjI0LTRlNmYtYjcxZi1kOTNlZGUwN2ViZWbYAgHgAgE&sid=709c55f5caea1bdb2257e181b37df055&checkin=2026-06-01&checkout=2026-06-02&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 98.00,9800,,£98 Price £98 Includes taxes and charges,46,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=51.456068&locale=en&longitude=-2.584724&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 103.00,10300,1f0518b9-0a31-4181-adb6-76c4289741a0,9502,Marriott Hotel Bristol City Centre,Two Double Beds Family Room,20260601|20260602|W|164|9502|FAM.2D-1|ID_B2B_44|RO|B2CXXXX|1~1~0||N@07~A-SIC~20067~1880717223~N~~~NOR~~F872FE2685E9456177969705301005AAUK0088008400131020067,Booking.com,+GBP 5.00,500,
4,citizenM London Shoreditch,Shoreditch,London,51.52399,-0.078699,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/citizenm-london-shoreditch.en-gb.html?label=gen173nr-10CAsoUEIaY2l0aXplbm0tbG9uZG9uLXNob3JlZGl0Y2hIM1gEaHGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4Ap6L0NAGwAIB0gIkNTRjNmZhOGMtYzk4My00NzM4LWJkNzEtYmY3ZDQ0NjI4OTI32AIB4AIB&sid=709c55f5caea1bdb2257e181b37df055&checkin=2026-06-01&checkout=2026-06-02&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 343.00,34300,,£343 Price £343 Includes taxes and charges,24,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=51.52399&locale=en&longitude=-0.078699&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 343.00,34300,515fe876-fd44-48b1-bbf5-a19f0707777c,843257,Citizenm London Shoreditch,King Size Bed Double Room,20260601|20260602|W|164|843257|DBL.KG|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~200157~-1000448987~N~~~NRF~~B08C14CF9896497177969707130705AAUK10000928002010200157,Tie,GBP 0.00,0,
5,Holiday Inn Birmingham City,Broad Street,Birmingham,52.475658,-1.899295,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/birmingham-city.en-gb.html?checkin=2026-06-01&checkout=2026-06-02&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 84.00,8400,Standard Double Room,£84 Price £84 Includes taxes and charges,100,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=52.475658&locale=en&longitude=-1.899295&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 84.00,8400,b10675af-2057-415a-995f-0e66f4b32f39,9040,Holiday Inn Birmingham City Centre,Standard Double Room,20260601|20260602|W|164|9040|DBL.ST-1|ID_B2B_26|RO|IWS25|1~1~0||N@07~A-SIC~20054~1882509035~N~~~NRF~~33CFC11F9BC9473177969710620705AAUK0129012500131020054,Tie,GBP 0.00,0,
6,Radisson Blu Edinburgh,Royal Mile,Edinburgh,55.95009,-3.186916,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/radisson-sas-edinburgh.en-gb.html?label=gen173nr-10CAsoUEIWcmFkaXNzb24tc2FzLWVkaW5idXJnaEgzWARocYgBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgC1IvQ0AbAAgHSAiRlYWE3YmRhMy03MDUzLTRjYTEtYTAzZi0wNGM2MjZlZDBkYjnYAgHgAgE&sid=709c55f5caea1bdb2257e181b37df055&checkin=2026-06-01&checkout=2026-06-02&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 382.00,38200,,£382 Price £382 Includes taxes and charges,56,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=55.95009&locale=en&longitude=-3.186916&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 382.00,38200,70b20d8f-87ec-49f0-8ed8-59f1537812f8,6535,"Radisson Blu Hotel, Edinburgh City Centre",Standard Room,20260601|20260602|W|163|6535|ROO.ST|ID_B2B_44|RO|B2CNRFXXXX|1~1~0||N@07~A-SIC~20017e~-2099517260~N~~~NRF~~52C1DCFCF7AD480177969712617805AAUK0168015700171020017e,Tie,GBP 0.00,0,
7,The Welbeck Hotel by IHG,Westminster,London,51.516873,-0.149435,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/the-welbeck-hotel.en-gb.html?checkin=2026-06-01&checkout=2026-06-02&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 314.00,31400,Standard Room,£314 Price £314 Includes taxes and charges,38,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=51.516873&locale=en&longitude=-0.149435&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 291.04,29104,34539c32-aebb-4701-84a7-3261e997f4a8,8900,"The Welbeck Hotel London, an IHG Hotel",Standard Double Room,20260601|20260602|W|164|8900|DBL.ST-1|ID_B2B_71|RO|B2BNRF|1~1~0||N@07~A-SIC~204123~135696665~N~~~NRF~~8C70EB50CFFB47A177969714529205AAUK10000930002010204123,Omio/HBX,GBP -22.96,-2296,
8,Residence Inn by Marriott Manchester Piccadilly,Laystall Street,Manchester,53.48124,-2.227357,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/staycity-aparthotels-laystall-street.en-gb.html?checkin=2026-06-01&checkout=2026-06-02&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 85.00,8500,Queen Studio,£85 Price £85 Includes taxes and charges,10,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=53.48124&locale=en&longitude=-2.227357&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 84.81,8481,91fb6b41-8a42-4088-a73b-ce36c129f4b2,1034275,Residence Inn By Marriott Manchester Piccadilly,Queen Size Bed Double Room,20260601|20260602|W|164|1034275|DBL.QN|ID_B2B_44|BB|B2CNRFXXXX|1~1~0||N@07~A-SIC~25154~1128518703~N~~~NRF~~CC968DF7103C4ED177969717185605AAUK0150013500161025154,Omio/HBX,GBP -0.19,-19,
9,Holiday Inn Express Leeds City Centre by IHG,Cavendish Street,Leeds,53.800224,-1.56499,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/exhileedscitycentre.en-gb.html?checkin=2026-06-01&checkout=2026-06-02&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 65.00,6500,Standard Double Room with Free Hot Breakfast,£65 Price £65 Includes taxes and charges,8,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=53.800224&locale=en&longitude=-1.56499&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 75.01,7501,946c9efc-19d7-4fd5-b34c-f09bb4cc6c72,36717,Holiday Inn Express Leeds City Centre,Standard Single Room,20260601|20260602|W|164|36717|SGL.ST|ID_B2B_44|BB|B2CXXXX|1~1~0||N@07~A-SIC~2014b~-1590425366~N~~~NOR~~F246FAA3F922447177969719101405AAUK007300660010102014b,Booking.com,+GBP 10.01,1001,
10,Holiday Inn Express - Glasgow - City Ctr Riverside by IHG,Stockwell Street,Glasgow,55.854938,-4.250502,2026-06-01,2026-06-02,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/glasgowexpressbyholidayinn.en-gb.html?checkin=2026-06-01&checkout=2026-06-02&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 125.00,12500,Standard Double Room with Sofa Bed and Free Hot Breakfast,£125 Price £125 Includes taxes and charges,6,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=01-06-2026&checkOut=02-06-2026&children=0&currency=GBP&latitude=55.854938&locale=en&longitude=-4.250502&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 125.00,12500,5bec4dc9-2c04-4824-86fe-3feb20deda9f,23576,Holiday Inn Express Glasgow City Riverside,Standard Twin Room,20260601|20260602|W|163|23576|TWN.ST-2|ID_B2B_26|BB|IDU15|1~1~0||N@07~A-SIC~2007d~-1268058091~N~~~NOR~~3E150096B85E4C6177969720899505AAUK010601030013102007d,Tie,GBP 0.00,0,
