row_number,hotel,location,city,latitude,longitude,check_in,check_out,adults,children,rooms,currency,user_country_code,booking_url,booking_price,booking_lowest_unit_value,booking_room_name,booking_source_text,booking_candidate_count,omio_url,omio_price,omio_lowest_unit_value,omio_accommodation_id,omio_provider_hotel_identifier,omio_accommodation_name,omio_room_name,omio_rate_key,cheaper_supplier,delta_omio_minus_booking,delta_omio_minus_booking_lowest_unit_value,warnings
1,Novotel London West,West,London,51.491809,-0.22057,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/novotellondonwest.en-gb.html?checkin=2026-06-30&checkout=2026-07-01&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP&chal_t=1782206607422&force_referer=,GBP 291.00,29100,,£291 Price £291 Includes taxes and charges,32,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=51.491809&locale=en&longitude=-0.22057&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 279.91,27991,b2f78141-b061-4583-87d1-d9b23e976fc9,7546,Novotel London West,Queen Size Bed Double Room,20260630|20260701|W|164|7546|DBL.QN|ID_B2B_87|RO|B2BNRFEUXX|1~1~0||N@07~A-SIC~25b117~-236021513~N~~~NRF~~716F057E6C67458178220662309605AAUK0631048900171025b117,Omio/HBX,GBP -11.09,-1109,
2,Marriott Hotel London Marble Arch,George Street,London,51.516415,-0.163603,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/london-marriott-marble-arch.en-gb.html?checkin=2026-06-30&checkout=2026-07-01&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 375.00,37500,,£375 Price £375 Includes taxes and charges,56,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=51.516415&locale=en&longitude=-0.163603&page=1&pageSize=1000&rooms=1&userCountryCode=GB,,,,,,,,n/a,,,omio_exact_hotel_not_found
3,Bristol Marriott City Centre,Broad Street,Bristol,51.456068,-2.584724,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/bristol-marriott-city-centre.en-gb.html?label=gen173nr-10CAsoUEIcYnJpc3RvbC1tYXJyaW90dC1jaXR5LWNlbnRyZUgzWARocYgBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgCv6Hp0QbAAgHSAiQzNDY2Y2QwYy1hNTU4LTQ4ODItOWRmYS0wMjIxNDUxMWExNDDYAgHgAgE&sid=616664fc25006f936089862b90735b7e&checkin=2026-06-30&checkout=2026-07-01&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 143.00,14300,,£143 Price £143 Includes taxes and charges,34,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=51.456068&locale=en&longitude=-2.584724&page=1&pageSize=1000&rooms=1&userCountryCode=GB,,,,,,,,n/a,,,omio_exact_hotel_not_found
4,citizenM London Shoreditch,Shoreditch,London,51.52399,-0.078699,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/citizenm-london-shoreditch.en-gb.html?label=gen173nr-10CAsoUEIaY2l0aXplbm0tbG9uZG9uLXNob3JlZGl0Y2hIM1gEaHGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AtGh6dEGwAIB0gIkMWUyZGRkOGMtMjc0Mi00Yzk2LWIxNzQtM2RiY2U4NmVlOGE22AIB4AIB&sid=616664fc25006f936089862b90735b7e&checkin=2026-06-30&checkout=2026-07-01&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 345.00,34500,,£345 Price £345 Includes taxes and charges,12,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=51.52399&locale=en&longitude=-0.078699&page=1&pageSize=1000&rooms=1&userCountryCode=GB,,,,,,,,n/a,,,omio_exact_hotel_not_found
5,Holiday Inn Birmingham City,Broad Street,Birmingham,52.475658,-1.899295,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/birmingham-city.en-gb.html?checkin=2026-06-30&checkout=2026-07-01&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 158.00,15800,Standard Double Room,£158 Price £158 Includes taxes and charges,140,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=52.475658&locale=en&longitude=-1.899295&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 158.00,15800,bdd9d0f5-7f8a-408c-9efe-b960f55a529f,9040,Holiday Inn Birmingham City Centre,Standard Room,20260630|20260701|W|164|9040|ROO.ST|ID_B2B_26|RO|IDS15|1~1~0||N@07~A-SIC~2009e~-1961208637~S~~~NRF~~938808C16E3F4DE178220671988905AAUK007100530010102009e,Tie,GBP 0.00,0,
6,Radisson Blu Edinburgh,Royal Mile,Edinburgh,55.95009,-3.186916,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/radisson-sas-edinburgh.en-gb.html?label=gen173nr-10CAsoUEIWcmFkaXNzb24tc2FzLWVkaW5idXJnaEgzWARocYgBAZgBM7gBB8gBDNgBA-gBAfgBAYgCAagCAbgCgaLp0QbAAgHSAiQyMGY4YmQ0Ni03OGMxLTQzYTYtYjY2YS02NGQ0MzMwMGMxNjbYAgHgAgE&sid=616664fc25006f936089862b90735b7e&checkin=2026-06-30&checkout=2026-07-01&dist=0&group_adults=1&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,GBP 276.00,27600,,£276 Price £276 Includes taxes and charges,40,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=55.95009&locale=en&longitude=-3.186916&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 312.17,31217,4f9867ef-9b5e-47d6-ad56-3d061fa63d81,6535,"Radisson Blu Hotel, Edinburgh City Centre",Standard Room,20260630|20260701|W|163|6535|ROO.ST|ID_B2B_88|RO|B2CNRFEUXX|1~1~0||N@07~A-SIC~211138~-280288672~N~~~NRF~~D4D54353D3174F4178220673859105AAUK01090080001110211138,Booking.com,+GBP 36.17,3617,
7,The Welbeck Hotel by IHG,Westminster,London,51.516873,-0.149435,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/the-welbeck-hotel.en-gb.html?checkin=2026-06-30&checkout=2026-07-01&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 519.00,51900,Standard Room,£519 Price £519 Includes taxes and charges,108,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=51.516873&locale=en&longitude=-0.149435&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 519.00,51900,10d453e7-8d92-407f-8bc1-0448a10e4b7f,8900,"The Welbeck Hotel London, an IHG Hotel",Standard Room,20260630|20260701|W|164|8900|ROO.ST|ID_B2B_26|RO|IDS15|1~1~0||N@07~A-SIC~200207~-1210333161~S~~~NRF~~F17B3E17F3D8447178220675798305AAUK06270482001710200207,Tie,GBP 0.00,0,
8,Residence Inn by Marriott Manchester Piccadilly,Laystall Street,Manchester,53.48124,-2.227357,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/staycity-aparthotels-laystall-street.en-gb.html?checkin=2026-06-30&checkout=2026-07-01&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 111.00,11100,Double Room,£111 Price £111 Includes taxes and charges,28,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=53.48124&locale=en&longitude=-2.227357&page=1&pageSize=1000&rooms=1&userCountryCode=GB,,,,,,,,n/a,,,omio_exact_hotel_not_found
9,Holiday Inn Express Leeds City Centre by IHG,Cavendish Street,Leeds,53.800224,-1.56499,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/exhileedscitycentre.en-gb.html?checkin=2026-06-30&checkout=2026-07-01&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 130.00,13000,Standard Double Room with Free Hot Breakfast,£130 Price £130 Includes taxes and charges,8,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=53.800224&locale=en&longitude=-1.56499&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 130.00,13000,84f243c1-1c4f-449a-8595-3734d3100bcd,36717,Holiday Inn Express Leeds City Centre,Standard Double Room,20260630|20260701|W|164|36717|DBL.ST-2|ID_B2B_26|BB|IDU15|1~1~0||N@07~A-SIC~20082~991276505~S~~~NOR~~654791F7BE02462178220680152705AAUK0041002900091020082,Tie,GBP 0.00,0,
10,Holiday Inn Express - Glasgow - City Ctr Riverside by IHG,Stockwell Street,Glasgow,55.854938,-4.250502,2026-06-30,2026-07-01,1,0,1,GBP,GB,https://www.booking.com/hotel/gb/glasgowexpressbyholidayinn.en-gb.html?checkin=2026-06-30&checkout=2026-07-01&group_adults=1&no_rooms=1&group_children=0&selected_currency=GBP,GBP 150.00,15000,Standard Twin Room with Free Hot Breakfast,£150 Price £150 Includes taxes and charges,8,https://www.omio.com/accommodations-service/accommodations/search/stream?adults=1&checkIn=30-06-2026&checkOut=01-07-2026&children=0&currency=GBP&latitude=55.854938&locale=en&longitude=-4.250502&page=1&pageSize=1000&rooms=1&userCountryCode=GB,GBP 150.00,15000,22dc45ac-6d82-4c3f-9d2c-eb44e4faa890,23576,Holiday Inn Express Glasgow City Riverside,King Size Bed Double Room,20260630|20260701|W|163|23576|DBL.KG-1|ID_B2B_26|BB|IDU15|1~1~0||N@07~A-SIC~20096~545475969~S~~~NOR~~CF95B774C0BA4D7178220681907905AAUK0067005500121020096,Tie,GBP 0.00,0,
